,text
115,"1- the dark night 
2-the Batman 
3-dark night rises 
4- Batman(Keaton) 
5-Batman begins 
6-Batman returns 

Huge space 
7-Batman vs Superman 
Huge space 
8-Batman forever 
Huge space 
9-cat in the hat (not even Batman) 
Huge space 
10-Batman and robin"
116,"@OWJaeger @m4ch1n3g1rl_ well yea and the dark night was really good at that, but idk batman begins and the dark night returns were meh"
117,"Tonight, I’m finally seeing THE BATMAN on HBOMAX. After much internal conflict, I decided to avoid the theater. I had seen all of these movies on their opening night or at midnight previews:
BATMAN 89
BATMAN RETURNS 
BATMAN BEGINS
THE DARK KNIGHT
THE DARK KNIGHT RISES
#TheBatman https://t.co/nOCSAYfgNc"
118,"Bueno, me quedé hasta esta hora viendo las versiones animadas de The Dark Night Returns y estoy para salir corriendo a tatuarme a Batman en el pecho. Qué hombre."
119,"@dasuperbackup God Father, blade runner, The elephant man, Carrie, The Dark Night, Batman Returns, Die Hard, Little Miss Sunshine, and Brave Heart. Not all of them are necessarily my favorite but they’re all pretty great, defiantly nowhere near SAO"
120,"While browsing sa Netflix og movies, nakita nako top 6 kay the dark night rises. Na remember na nuon nako tong nag tan'aw mi ni ate jayjay og the batman returns sa VHS sauna."
121,"@spacefunkyarp well ya see I read the dark knight returns last night and I've noticed many people interpret it as Batman being a fascist ie upholding the law, having a group of followers who follow his every whim, spreading said rhetoric to a teenage girl etc."
122,"The Dark Night Returns justifica bien silly porque la presencia infantil de Robin tiene que ver con qué los gadgets de Batman se llamen ""Bati- lo que sea"" 😜"
123,"@rawrkobz I’m wasn’t super invested in Batman beforehand so I didn’t quite get them when I saw them, but supposedly the two The Dark Night Returns animated films are great for fans!"
124,"The Batman Returns

To be followed by:
The Batman Forever
The Batman &amp; Robin
The Batman Begins
The The Dark Night
The The Dark Knight Rises
The Batman V Superman: Dawn of Justice https://t.co/7olb7swQJ8"
125,"@MASKEDMANIACXXX The Dark Night Returns Joker is a fav of mine, I liked Heath Ledger's Joker, to be honest I love all the incarnations of the Joker he is a badass character, and my fav in the Batman world"
126,"Dennis O’Neil, the editor of several Batman titles, including the legendary “The Dark Knight Returns” and “The Killing Joke” graphic novels said “Batman’s Gotham City is Manhattan below Fourteenth street at eleven minutes past midnight on the coldest night in November.”"
127,@IDrako01 @GeekZoneGZ Si usan un batman viejo que busca un remplazo femenino pues hubiera sido la oportunidad perfecta para introducir a carrie kely robin en the dark night returns
128,"@SrokaVtube Under the Red Hood prolly. That, I love The Dark Knight Returns, The Killing Joke, Crisis on Infinite Earths, and the Injustice comics, Blackest Night, Emerald Twilight. Batman Hush. Are some of my favorites."
129,"@jacksfilms ""I am the night, i live in the darkness. So together, that makes me the dark knight.        But, y'know, with a k"" - Robert Patterson (Batman Returns, 2005)

#YIAYquote"
130,The Batman &gt; Batman Begins &gt; The Dark Night &gt; Batman Returns &gt; Batman &gt; Batman Forever &gt; The Dark Knight Rises. Still need to see Batman and Robin and the Adam west one
131,"@BiggestMomAah @ParanoydStyle I'm confused, this is a joke right?
this comic panel is from the Dark Night Returns a story which explicitly critiques batman as fascist."
132,@cukizilla Solo vi la escena dónde Batman y Superman pelean y... Pues... Me gustó más la versión animada en The Dark Night Returns
133,Today’s weather calls for “be in bed and read a Batman comic book (wait I need new ones 🥲) OR be in bed and reread Batman: The Dark Knight Returns type of night.” I think I’ll choose chose # 2. 🙏🤗 #dccomics #batman
134,"""Justice about to be done in Crime Alley in a dark night in Gotham"" BTW the reason why Batman looks taller and buff than my oc is because this is the Batman from the animated two part movie ""Batman: The Dark Knight Returns"" in this case an Old/Aged Bruce Wayne https://t.co/4OFRFSbEhO"
135,Storms in Dallas last night looked like The Dark Knight Returns cover #Batman https://t.co/3aURNh52PR
136,"the batman, mask of the phantom, under the red hood, the dark night returns https://t.co/UiMq4evlQy"
137,"A massive Bat-thanks to everybody who joined last night’s stream! Completed SNES Batman Returns on Mania difficulty with 7 lives, but not 3. The Dark Knight mod of NES Batman was pretty cool. And Adventures of Batman &amp; Robin is still impressive and difficult (especially at 5 AM)."
138,"@DonMarino305 Batman returns
Under the red hood
The dark Night
The Gotham Night returns"
139,"THEY WILD FOR THAT 1ST ROW SHIT WAS HARD TO CHOOSE

1st row - The Dark Night 
2nd row - Batman Begins 
3rd row - Return of the joker
4th row - Batman Forever https://t.co/r814z0Y0dS"
140,"The Batman
Batman Mask of the Phantasm 
Batman Under the Red Hood
Batman The dark night returns https://t.co/JAuFxjPtIe"
141,"@yifty_cent The long Halloween, the Dark knight returns, the killing joke, dark night: a true batman story (אנדרייטד!), Batman year one, Batman earth one, Batman ego, court of the owls, death of the family, under the red hood, Arkham asylum - serious place on a serious earth &gt;&gt;"
142,"@BatmanFiles The Dark Night, Batman Begins, The Dark Knight Returns, Batman, The Dark Knight returns part 1."
143,"@BatmanFiles the batman
batman returns 
batman under the red hood
batman the dark night returns"
144,"The Lego Batman Movie
Batman Returns (never watched)
Batman Beyond
Batman The Dark Night Returns (not watched) https://t.co/kuDRvptZ1X"
145,"Dark Night 
Mask of the Phantasm 
Batman Beyond Return of the Joker 
Batman The Dark Night Returns https://t.co/QbBQFESnjC"
146,"The Batman
Mask of the Phantasm
TDKR
Batman The Dark Night Returns https://t.co/lNIX6AnCvC"
147,"The Dark Night 
Batman returns 
Batman:under the red hood 
Batman:the dark night returns https://t.co/DoZGjSfq79"
148,"@BatmanFiles AHHH BRO YOU CAN'T DO THIS TO ME WITH THAT FIRST ROW!
but if I must 
- The Dark Knight (The Batman is really close, but I like the ending of The Dark Knight more)
- Batman Returns 
- The Dark Night Rises
- Batman The Dark Knight Returns"
149,"Row 1 - Batman 
2- Mask of the phantasm
3- The Dark Night Rises or Return of the Joker
4- Batman Forever https://t.co/oMtdLHBaLO"
150,"The Batman
Mask of the Phantasm
Return of the Joker
The Dark Night Returns https://t.co/pMCdUwGWDW"
151,"the dark night 
the second one
batman under the red hood DON’T BE STUPID jason todd&gt;&gt;&gt;&gt;&gt;&gt;&gt;
batman the dark night returns https://t.co/WTjWdIQzIM"
152,"the batman
mask of the phantasm 
batman beyond
the dark night returns https://t.co/9cZV0QC5dr"
153,"The Dark Knight
Batman Begins
Under the Red Hood
The Dark Night Returns https://t.co/xBBm6nirRg"
154,"The Batman
Batman: Mask of the Phantasm
Batman: Under the Red Hood
Batman: The Dark Night Returns https://t.co/DgdvoGzOxj"
155,"the batman, batman begins, under the red hood, batman the dark night returns https://t.co/cYAy0EoYhJ"
156,"The Batman
Batman Returns
Under The Red Hood
The Dark Night Returns https://t.co/JQ3i4T5y8l"
157,"the batman, batman begins, batman under the red hood, and batman the dark night returns☺️ https://t.co/yiRcX7PwUT"
158,@MJ0DC صراحة ودي لو بيثمل باتمان يمثل قصة batman the dark night returns
159,It's always a good night to watch Batman: The Dark Knight Returns. #Batman https://t.co/hRDkOvEUIo
